Sembol,Tarih,Fiyat (Son),EMA20_gt_EMA50_gt_EMA200,MACD,MACD_Signal,MACD_Positive,ADX,RSI,OBV_Diff,BB_Low,BB_Mavg,BB_High,BB_W,ATRP_14,STOP Fiyat,TP Fiyat,GUNLUK_FARK,Haftalık Değişim (%),20G Değişim (%),Aylık Değişim (%),Ortalama Hacim (TL),Dipten Uzaklık (%),ATH'ye Uzaklık (%),ATH Breakout,ATH Dip Potansiyeli,SMA5_137_1d_Sinyal,SMA5_137_1d_Sinyal_Filt_Numeric,SMA5_137_4h_Sinyal_Filt_Numeric,Confirmed_BUY,Confirmed_SELL,Kirilim_BreakoutScore,Kirilim_PCTB,Kirilim_BBW_Squeeze,Kirilim_NEAR_10D_BRK,Kirilim_NEAR_20D_BRK,Kirilim_VRATIO10,Kirilim_CMF20,Kirilim_OBV_SLOPE5,Kirilim_ADX_SLOPE5,Kirilim_ATRP,Kirilim_DIST_HIGH,Kirilim_PASS_STRICT,Kirilim_PASS_LIGHT,Mul_KISA_VADE_PUAN,Mul_ORTA_VADE_PUAN,Mul_ANA_PUAN,Mul_RSI14,Mul_ADX14,Mul_ATR14,Mul_EMA21_gt_SMA50_gt_SMA200,SDIP_SCORE,KurumScore_Norm,BreakoutScore_Norm,MultiTFScore_Norm,MomentumScore_Norm,DipScore_Norm,RAW_SCORE,RISK_PENALTY,LOW_RISK_SCORE,TomorrowScore,Tomorrow_Adj
VKFYO,2026-02-06,44.3600,1,1.4319,2.7194,0,19.8160,47.4000,-424429.0000,40.9810,49.2715,57.5620,33.6522,0.0909,38.3100,50.4100,-3.3551,-6.8067,16.0649,15.8225,42238570,177.0800,24.6900,0,100,-,0,0,0,0,2.9400,0.2040,False,False,False,0.5700,0.1450,41865.0000,0.6700,0.0909,0.2710,False,False,9,8,26,47.4000,19.8160,4.0303,1,2,0.0000,2.9400,8.0000,30.5000,16.0000,8.9600,0.0000,8.9600,8.5500,0.0000
MEDTR,2026-02-06,29.6800,0,0.2171,0.3648,0,21.3131,48.3793,-711268.0000,28.8829,30.3560,31.8291,9.7055,0.0285,28.4100,30.9500,-0.9346,-1.6567,2.9126,4.5070,43908374,16.8000,43.4300,0,100,-,0,0,0,0,9.3100,0.2710,True,False,False,0.7100,-0.1980,-1267761.0000,-3.5000,0.0285,0.3495,False,False,11,0,22,48.3793,21.3131,0.8457,0,3,0.0000,9.3100,0.0000,27.5000,24.0000,8.9500,-0.5100,8.4400,8.6700,-0.3700
VESBE,2026-02-06,8.1800,0,0.0525,0.0327,1,17.4395,50.3309,-9240972.0000,7.7909,8.1395,8.4881,8.5648,0.0251,7.8700,8.4900,-1.4458,-0.7281,4.6036,3.6755,75748668,5.4100,59.0100,0,100,-,0,0,0,0,6.0000,0.5580,True,False,False,0.9000,-0.0260,-4066654.0000,-1.2700,0.0251,0.4788,False,False,8,5,21,50.3309,17.4395,0.2057,0,3,0.0000,6.0000,6.0000,25.0000,24.0000,8.9300,-2.2600,6.6700,7.6300,-1.2200
MRSHL,2026-02-06,1565.0000,0,-7.2081,-6.3054,0,22.1107,47.3174,-9834.0000,1539.9663,1575.6000,1611.2337,4.5232,0.0285,1498.2000,1631.8000,-1.0746,0.2562,0.2562,-2.3706,30480722,26.7200,28.2100,0,100,-,0,0,0,0,10.1200,0.3510,True,False,False,0.5300,-0.2230,8769.0000,-4.7600,0.0285,0.3157,False,False,11,0,22,47.3174,22.1107,44.5342,0,2,0.0000,10.1200,0.0000,27.5000,16.0000,8.8100,-0.5100,8.3000,8.6000,-0.3700
EMNIS,2026-02-06,162.3000,0,-2.0600,-1.4375,0,33.5928,39.6078,5899.0000,159.5680,167.6500,175.7320,9.6415,0.0172,158.1100,166.4900,0.0000,-1.0366,-2.6395,-4.6416,1526626,2.7200,57.0100,0,100,-,0,0,0,1,21.5900,0.1690,True,False,False,0.5800,-0.0360,9.0000,6.0900,0.0172,0.5773,False,False,-1,0,-2,39.6078,33.5928,2.7920,0,4,0.0000,21.5900,0.0000,0.0000,32.0000,8.7200,-17.8200,-9.1000,-7.9600,-18.2000
REEDR,2026-02-06,6.6900,0,-0.0823,-0.0599,0,17.8991,39.0467,-20253683.0000,6.6487,7.0035,7.3583,10.1324,0.0326,6.3600,7.0200,-0.2981,-4.4286,-1.7621,1.2103,191725695,1.9800,81.3500,0,100,-,0,0,0,0,6.0000,0.0580,True,False,False,0.7900,-0.1960,-85883243.0000,-3.8600,0.0326,0.5295,False,False,13,0,26,39.0467,17.8991,0.2180,0,3,0.0000,6.0000,0.0000,32.5000,24.0000,8.7100,-0.1100,8.6000,8.4800,0.0000
NATEN,2026-02-06,8.3300,0,-0.1166,-0.0208,0,19.9731,38.0140,-5331642.0000,8.1438,8.9165,9.6892,17.3317,0.0380,7.8600,8.8000,-0.7151,-2.9138,-12.3158,-11.0993,124713546,5.9800,53.4400,0,100,-,0,0,0,0,6.0000,0.1200,True,False,False,0.4400,-0.3290,-24135811.0000,-1.2500,0.0380,0.5065,False,False,13,0,26,38.0140,19.9731,0.3163,0,3,0.0000,6.0000,0.0000,32.5000,24.0000,8.7100,0.0000,8.7100,8.4800,0.0000
SKTAS,2026-02-06,3.7500,0,-0.0687,-0.0454,0,15.7289,39.5859,7200108.0000,3.6705,3.9675,4.2645,14.9739,0.0506,3.4700,4.0300,0.2674,-5.3030,1.3514,1.9022,48072897,25.2600,37.1900,0,100,-,0,0,0,0,6.0000,0.1340,True,False,False,0.6600,-0.1780,-37316874.0000,-4.7900,0.0506,0.3832,False,False,13,0,26,39.5859,15.7289,0.1898,0,3,0.0000,6.0000,0.0000,32.5000,24.0000,8.7100,-2.4500,6.2600,8.4800,0.0000
BLUME,2026-02-06,44.7800,0,-1.2732,-0.2487,0,18.1341,0.1335,-2120877.0000,53.0160,59.9990,66.9820,23.2769,0.0271,42.9600,46.6000,-26.3487,-26.3487,-26.3487,-26.3487,4748643,209.6800,37.5900,0,100,SAT,-50,0,0,0,22.4300,-0.5900,True,False,False,10.0000,0.0710,-2120877.0000,6.2700,0.0271,0.3981,False,False,-1,0,-2,0.1335,18.1341,1.2133,0,3,0.0000,22.4300,0.0000,0.0000,24.0000,8.6000,-34.7300,-26.1300,-5.5500,-15.7200
AYEN,2026-02-06,27.2000,1,0.6318,0.6522,0,29.3770,53.5247,-744379.0000,24.7367,27.0420,29.3473,17.0495,0.0268,26.1100,28.2900,-2.5090,-2.7877,7.6801,8.7130,28419085,24.2000,13.6200,0,0,-,0,0,0,0,17.3800,0.5340,True,False,False,0.6700,-0.0510,-792921.0000,1.1300,0.0268,0.1603,False,False,-1,0,-2,53.5247,29.3770,0.7289,0,2,0.0000,17.3800,8.0000,0.0000,16.0000,8.5400,-14.5800,-6.0400,-6.0500,-15.8000
